,time_(s),rew_action_rate,rew_balance,rew_forward_progress,rew_height,rew_motor_effort,rew_smoothness,rew_stability,rew_termination,rew_total,rew_success,x,y,z,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,global_linear_x,global_linear_y,global_linear_z,global_angular_x,global_angular_y,global_angular_z,front_left,front_right,rear_left,rear_right,position_FL_hip_joint,position_FL_thigh_joint,position_FL_calf_joint,position_FR_hip_joint,position_FR_thigh_joint,position_FR_calf_joint,position_RL_hip_joint,position_RL_thigh_joint,position_RL_calf_joint,position_RR_hip_joint,position_RR_thigh_joint,position_RR_calf_joint,torque_FL_hip_joint,torque_FL_thigh_joint,torque_FL_calf_joint,torque_FR_hip_joint,torque_FR_thigh_joint,torque_FR_calf_joint,torque_RL_hip_joint,torque_RL_thigh_joint,torque_RL_calf_joint,torque_RR_hip_joint,torque_RR_thigh_joint,torque_RR_calf_joint,out_of_limits,rollout
1370,27.4,-0.06,271.24,9.84,11.04,-0.1,-104.66,778.03,0.0,965.34,1371.0,6.9,13.12,0.87,0.52,0.13,0.24,3.19,0.27,-1.49,1.88,-1.56,-2.56,1.88,-1.56,-2.56,89.0,165.1,0.0,0.0,27.8,32.8,-100.2,-14.3,59.0,-153.8,7.9,27.1,-48.0,-3.7,60.0,-102.2,-10.6,3.7,-0.1,14.7,-20.8,21.7,-4.9,10.2,22.8,-8.4,3.6,4.5,2,4
1372,27.44,-0.06,271.63,9.88,11.06,-0.1,-104.94,779.17,0.0,966.64,1373.0,6.92,13.1,0.88,0.46,0.15,0.35,-3.58,-1.96,-1.94,-3.93,2.1,-0.74,-3.93,2.1,-0.74,132.9,0.0,0.0,0.0,22.7,37.2,-105.0,-30.0,41.0,-127.4,2.5,45.7,-48.0,-14.4,58.9,-77.4,-16.9,-1.7,5.8,18.7,-8.8,-18.7,2.6,-12.2,22.8,1.3,-8.1,4.7,1,4
1374,27.48,-0.06,272.03,9.92,11.07,-0.1,-105.44,780.03,0.0,967.44,1375.0,6.93,13.08,0.89,0.52,-0.02,0.43,-7.06,-3.01,-1.42,-6.56,4.11,0.98,-6.56,4.11,0.98,2.8,0.0,0.0,0.0,33.9,30.2,-94.4,-16.8,26.6,-156.0,14.8,42.9,-48.0,-6.3,45.7,-59.9,-13.6,4.8,16.8,8.3,9.6,-18.0,0.5,-8.3,22.8,15.0,-5.7,-16.0,2,4
1376,27.52,-0.06,272.42,9.96,11.09,-0.1,-105.66,781.14,0.0,968.8,1377.0,6.95,13.07,0.9,0.51,0.01,0.24,-0.65,-0.48,-0.17,-0.77,0.27,0.1,-0.77,0.27,0.1,0.0,0.0,57.7,117.0,44.0,16.3,-58.9,-1.1,45.7,-156.0,27.9,39.1,-48.0,10.4,55.3,-83.9,-13.3,4.4,-0.9,3.9,5.8,-19.7,-7.4,-20.3,21.5,14.3,-15.2,-8.4,2,4
1378,27.56,-0.06,272.82,9.99,11.11,-0.1,-105.94,782.26,0.0,970.08,1379.0,6.96,13.06,0.9,0.34,0.2,0.01,3.27,3.38,1.15,4.74,-0.79,-0.6,4.74,-0.79,-0.6,0.0,0.0,55.7,14.4,44.9,-4.2,-60.5,1.9,61.6,-156.0,33.6,23.0,-48.0,19.3,55.6,-106.9,5.0,10.1,-4.9,1.6,-1.9,-19.7,-13.7,-17.5,6.4,-0.9,-7.4,-3.4,2,4
1380,27.6,-0.06,273.22,10.04,11.13,-0.1,-106.15,783.39,0.0,971.47,1381.0,6.98,13.04,0.89,0.68,0.21,0.06,6.12,0.25,-1.24,2.96,-4.53,-3.12,2.96,-4.53,-3.12,0.0,109.6,82.1,153.8,43.9,2.6,-86.1,1.5,56.9,-156.0,25.3,11.6,-48.0,16.0,48.6,-122.7,-1.5,-0.6,-1.9,4.3,-8.0,-19.7,-9.4,-15.8,13.2,4.2,-3.4,8.6,2,4
1382,27.64,-0.06,273.61,10.09,11.15,-0.1,-106.29,784.53,0.0,972.94,1383.0,7.0,13.02,0.89,0.66,0.24,0.28,3.7,-0.81,-1.87,0.72,-2.91,-2.98,0.72,-2.91,-2.98,0.0,39.7,106.0,0.0,32.9,28.7,-103.3,-10.4,56.7,-156.0,17.2,12.4,-48.0,8.5,57.1,-116.0,-4.8,-0.2,-4.3,15.1,-16.5,-10.8,-17.3,-6.7,22.0,-2.3,2.2,2.1,2,4
1384,27.68,-0.06,274.01,10.14,11.17,-0.1,-106.53,785.66,0.0,974.29,1385.0,7.02,13.0,0.89,0.61,0.33,0.22,0.43,-1.59,-2.07,-1.26,-0.29,-2.31,-1.26,-0.29,-2.31,84.3,3.6,0.0,0.0,19.3,40.5,-109.0,-19.3,55.7,-150.0,6.8,26.4,-48.0,-6.4,68.8,-94.9,-11.5,-1.8,-0.8,17.3,-16.9,2.8,1.4,2.7,22.8,-2.3,-12.1,6.0,1,4
1386,27.72,-0.06,274.41,10.19,11.19,-0.1,-106.84,786.81,0.0,975.59,1387.0,7.04,12.98,0.9,0.54,0.28,0.31,-5.91,-1.45,-1.41,-3.24,5.34,-0.08,-3.24,5.34,-0.08,50.4,0.0,0.0,0.0,24.6,37.2,-103.8,-9.6,53.8,-156.0,4.1,43.0,-48.0,-15.2,53.0,-66.8,-12.5,3.7,10.1,14.9,-0.1,-18.1,0.5,-14.1,22.8,8.2,-2.8,1.5,2,4
1388,27.76,-0.06,274.81,10.23,11.21,-0.1,-107.22,787.96,0.0,976.82,1389.0,7.06,12.97,0.9,0.52,0.23,0.08,-1.13,-1.0,-0.83,-1.38,0.9,-0.5,-1.38,0.9,-0.5,40.0,0.0,74.3,31.0,33.3,27.2,-84.4,4.6,55.9,-156.0,11.7,38.8,-48.0,-0.7,49.1,-77.8,-7.4,4.5,14.1,-1.4,1.7,-19.7,-2.1,-15.6,22.5,16.4,-14.2,-7.6,2,4
1390,27.8,-0.06,275.21,10.26,11.23,-0.1,-107.5,789.11,0.0,978.14,1391.0,7.07,12.95,0.9,0.4,0.32,-0.15,-0.14,2.18,-0.18,2.02,0.74,-0.44,2.02,0.74,-0.44,0.0,0.0,49.4,31.1,41.4,8.3,-56.2,1.3,56.0,-156.0,23.5,30.6,-48.0,14.0,57.9,-103.3,-0.0,0.8,-12.1,4.9,0.0,-19.7,-5.5,-18.2,20.6,3.8,-9.4,-5.1,2,4
1392,27.84,-0.06,275.6,10.3,11.25,-0.1,-107.7,790.25,0.0,979.53,1393.0,7.09,12.94,0.88,0.48,0.35,0.04,7.12,0.09,-0.72,1.6,-6.42,-2.71,1.6,-6.42,-2.71,0.0,86.9,52.5,53.4,42.6,0.4,-76.7,5.0,56.7,-156.0,24.1,18.2,-48.0,20.8,54.4,-118.8,1.1,11.6,-0.1,3.8,-6.3,-19.7,-6.7,-19.9,15.0,4.1,-9.5,0.0,2,4
1394,27.88,-0.06,275.99,10.33,11.26,-0.1,-107.83,791.39,0.0,980.98,1395.0,7.1,12.93,0.89,0.35,0.36,0.16,2.93,0.09,-1.97,0.66,-2.14,-2.72,0.66,-2.14,-2.72,0.0,40.1,71.2,16.5,36.2,13.9,-92.6,-4.5,58.4,-156.0,18.2,17.5,-48.0,16.7,57.2,-121.6,-0.3,5.9,-0.1,9.0,-10.1,-19.7,-18.4,-17.9,15.6,-3.7,3.1,6.1,2,4
1396,27.92,-0.06,276.39,10.35,11.28,-0.1,-107.9,792.51,0.0,982.47,1397.0,7.12,12.91,0.89,0.3,0.38,0.16,2.87,-0.55,-2.14,0.04,-2.08,-2.96,0.04,-2.08,-2.96,41.0,0.0,58.0,0.0,25.3,29.7,-99.3,-12.3,57.5,-156.0,9.4,19.9,-48.0,4.4,60.0,-109.7,-6.4,-0.8,-3.3,16.6,-18.4,1.4,-9.4,1.0,22.8,-7.2,5.2,2.8,2,4
1398,27.96,-0.06,276.78,10.38,11.3,-0.1,-108.08,793.63,0.0,983.85,1399.0,7.13,12.9,0.89,0.28,0.35,0.09,-1.92,-1.15,-1.99,-0.74,2.45,-1.56,-0.74,2.45,-1.56,118.4,66.3,0.0,0.0,23.6,31.9,-97.0,-5.6,61.6,-156.0,3.0,29.3,-48.0,-14.4,59.1,-85.8,-14.9,3.3,-3.2,14.3,-17.3,-13.1,0.6,1.8,22.8,1.9,-10.9,4.3,2,4
1400,28.0,-0.06,277.18,10.4,11.32,-0.1,-108.39,794.77,0.0,985.12,1401.0,7.14,12.89,0.89,0.25,0.28,-0.02,-1.91,-0.79,-1.57,-0.48,2.3,-1.1,-0.48,2.3,-1.1,82.6,0.0,0.0,0.0,29.9,29.8,-91.8,6.2,62.8,-156.0,2.2,35.7,-48.0,-14.1,43.2,-72.0,-11.6,9.9,9.7,-7.3,-2.5,-19.7,5.6,-10.4,22.6,15.8,-3.0,-12.4,2,4
1402,28.04,-0.06,277.57,10.42,11.34,-0.1,-108.53,795.93,0.0,986.56,1403.0,7.15,12.88,0.89,0.22,0.25,-0.29,-1.73,0.54,-1.2,0.81,1.87,-0.75,0.81,1.87,-0.75,12.6,0.0,35.7,35.5,38.6,22.8,-76.7,0.1,61.8,-156.0,11.8,35.2,-48.0,-1.2,48.6,-87.6,-4.7,-0.7,0.1,5.3,-2.8,-19.7,-5.6,-16.5,20.9,7.2,-11.4,-6.9,2,4
1404,28.08,-0.06,277.96,10.43,11.35,-0.1,-108.71,797.08,0.0,987.95,1405.0,7.16,12.87,0.87,0.23,0.27,-0.06,4.88,-0.16,-0.79,-0.93,-4.34,-2.19,-0.93,-4.34,-2.19,0.0,0.0,111.6,76.5,42.0,12.4,-73.7,2.9,60.4,-156.0,15.5,27.8,-48.0,4.9,53.1,-101.1,1.7,8.4,-0.9,2.4,-3.4,-19.7,-9.4,-19.7,13.9,5.5,-11.4,-4.3,2,4
1406,28.12,-0.06,278.36,10.45,11.36,-0.1,-108.83,798.21,0.0,989.39,1407.0,7.17,12.86,0.87,0.18,0.26,0.04,1.48,-0.0,-1.56,-0.05,-0.96,-1.92,-0.05,-0.96,-1.92,0.0,59.4,52.5,52.9,36.6,21.8,-80.9,-1.5,62.3,-156.0,12.8,26.2,-48.0,3.5,57.1,-106.1,-1.0,-3.0,-2.5,7.1,-6.5,-19.7,-14.7,-19.6,12.4,0.6,-7.8,-3.1,2,4
1408,28.16,-0.06,278.75,10.46,11.38,-0.1,-108.9,799.33,0.0,990.86,1409.0,7.18,12.86,0.87,0.13,0.26,0.07,2.22,0.11,-1.76,-0.07,-1.61,-2.34,-0.07,-1.61,-2.34,28.2,65.9,65.4,0.0,32.3,25.6,-85.4,-9.1,60.3,-156.0,7.5,26.5,-48.0,-0.3,57.6,-108.7,-2.7,0.8,1.1,10.9,-17.8,2.3,-14.9,-10.5,21.1,-1.2,0.3,0.6,2,4
1410,28.2,-0.06,279.14,10.47,11.39,-0.1,-109.04,800.45,0.0,992.25,1411.0,7.19,12.85,0.88,0.08,0.29,0.22,-2.17,-1.34,-2.18,0.13,2.97,-1.56,0.13,2.97,-1.56,95.7,43.3,0.0,0.0,29.8,29.0,-85.8,-22.6,50.4,-142.8,1.7,32.7,-48.0,-5.2,56.1,-101.6,-12.7,3.4,0.7,13.4,-17.3,9.9,4.3,0.6,22.8,-2.1,-4.2,2.7,1,4
1412,28.24,-0.06,279.54,10.47,11.41,-0.1,-109.29,801.6,0.0,993.57,1413.0,7.19,12.84,0.89,0.09,0.21,0.18,-4.81,-1.04,-2.15,1.47,5.1,-0.81,1.47,5.1,-0.81,47.9,0.0,0.0,29.6,35.3,33.5,-88.8,-23.2,34.7,-152.3,6.9,37.7,-48.0,-7.1,48.6,-91.9,-14.7,-1.1,0.1,14.5,-0.1,-6.4,2.0,-5.1,22.8,4.8,-3.9,4.2,2,4
1414,28.28,-0.06,279.94,10.48,11.43,-0.1,-109.51,802.74,0.0,994.91,1415.0,7.2,12.83,0.89,0.11,0.21,0.13,-1.56,-0.11,-1.14,0.65,1.68,-0.72,0.65,1.68,-0.72,46.7,0.0,78.5,38.1,43.9,32.7,-86.2,-10.5,37.8,-156.0,16.4,33.1,-48.0,-0.9,46.1,-89.4,-12.9,3.9,4.2,-1.7,8.5,-19.7,-4.5,-13.4,21.6,13.5,-10.0,-5.3,2,4
1416,28.32,-0.06,280.34,10.48,11.45,-0.1,-109.6,803.87,0.0,996.37,1417.0,7.2,12.82,0.89,0.03,0.27,-0.09,1.63,1.78,-0.35,0.66,-2.12,-1.03,0.66,-2.12,-1.03,12.9,0.0,95.7,46.7,43.4,21.2,-80.3,-4.3,55.0,-156.0,19.4,26.4,-48.0,2.7,46.5,-99.5,-2.0,4.3,-2.3,3.6,-3.4,-19.7,-8.2,-17.2,18.5,6.3,-9.4,-2.8,2,4
1418,28.36,-0.06,280.73,10.49,11.46,-0.1,-109.74,805.0,0.0,997.79,1419.0,7.21,12.82,0.89,0.07,0.26,0.05,2.1,-0.17,-0.98,-1.15,-1.28,-1.56,-1.15,-1.28,-1.56,0.0,77.6,92.1,111.2,39.1,14.1,-83.6,-0.9,58.0,-156.0,16.3,20.6,-48.0,2.0,48.1,-104.9,0.3,5.4,-1.8,6.8,-7.9,-19.7,-11.4,-19.5,14.9,9.0,-9.4,1.2,2,4
1420,28.4,-0.06,281.13,10.49,11.48,-0.1,-109.79,806.15,0.0,999.3,1421.0,7.22,12.81,0.89,0.01,0.26,0.08,0.89,0.37,-1.39,0.02,-0.52,-1.61,0.02,-0.52,-1.61,0.0,63.3,97.4,0.0,36.3,17.1,-92.1,-4.0,56.5,-156.0,15.3,19.0,-48.0,2.1,48.1,-105.1,-6.1,4.3,-2.8,11.5,-5.3,-19.7,-17.1,-20.4,18.9,4.3,1.4,-1.2,2,4
1422,28.44,-0.06,281.53,10.5,11.5,-0.1,-109.87,807.29,0.0,1000.78,1423.0,7.23,12.8,0.89,0.01,0.27,0.05,2.92,0.1,-1.61,-1.34,-1.78,-2.48,-1.34,-1.78,-2.48,0.0,49.3,77.4,0.0,29.5,22.0,-105.6,-10.3,55.4,-156.0,9.2,19.4,-48.0,2.7,50.5,-104.5,-5.9,2.1,1.3,17.8,-14.1,-18.1,-13.9,-13.0,22.8,-8.5,-1.4,-0.4,2,4
1424,28.48,-0.06,281.93,10.5,11.52,-0.11,-110.03,808.42,0.0,1002.16,1425.0,7.23,12.79,0.89,0.0,0.26,0.04,-0.22,-1.24,-1.7,-0.23,1.34,-1.63,-0.23,1.34,-1.63,122.9,50.2,0.0,0.0,26.2,26.8,-102.5,-10.2,57.1,-156.0,6.0,24.0,-48.0,-9.8,45.8,-93.7,-13.0,5.3,2.9,18.6,-8.7,-17.2,-2.2,-0.7,22.8,-1.2,-2.9,6.8,2,4
1426,28.52,-0.06,282.33,10.5,11.54,-0.11,-110.21,809.57,0.0,1003.55,1427.0,7.24,12.78,0.89,0.04,0.24,-0.05,0.12,-2.25,-1.43,-1.25,1.83,-1.49,-1.25,1.83,-1.49,90.3,33.0,23.9,0.0,28.7,29.1,-92.4,4.1,63.9,-156.0,7.5,30.8,-48.0,-16.3,37.9,-77.8,-11.9,12.3,2.0,-3.9,-1.1,-19.7,-0.3,-6.8,22.4,14.2,-3.2,-7.0,2,4
1428,28.56,-0.06,282.73,10.5,11.55,-0.11,-110.29,810.73,0.0,1005.07,1429.0,7.24,12.78,0.89,0.03,0.22,-0.35,-1.0,-1.05,-1.24,0.33,1.56,-1.04,0.33,1.56,-1.04,15.0,0.0,45.5,43.0,31.5,34.9,-87.4,-2.5,64.5,-156.0,9.6,37.0,-48.0,-15.0,46.5,-83.4,-5.9,5.7,1.5,2.7,-1.4,-19.7,-8.5,-13.4,19.2,12.4,-9.4,-6.2,2,4
1430,28.6,-0.06,283.13,10.5,11.57,-0.11,-110.38,811.9,0.0,1006.55,1431.0,7.25,12.77,0.87,-0.06,0.23,-0.54,-0.71,1.82,-0.58,1.7,-1.0,-0.5,1.7,-1.0,-0.5,4.2,0.0,67.8,56.0,37.4,34.4,-88.0,-3.0,62.1,-156.0,14.0,36.0,-48.0,-10.7,51.6,-92.4,-4.0,0.0,-1.7,6.2,-1.9,-19.7,-11.3,-19.4,15.5,8.8,-7.4,-0.9,2,4
1432,28.64,-0.06,283.52,10.5,11.58,-0.11,-110.47,813.06,0.0,1008.03,1433.0,7.26,12.77,0.86,-0.18,0.21,0.18,0.96,0.02,-0.88,-0.58,-0.42,-1.08,-0.58,-0.42,-1.08,0.0,24.6,85.3,92.9,35.6,29.7,-93.4,-1.7,66.9,-156.0,13.7,29.6,-48.0,-8.8,52.6,-94.5,-2.2,-0.8,-0.8,8.1,-7.6,-19.7,-15.1,-20.9,15.5,9.8,-9.7,-6.5,2,4
1434,28.68,-0.06,283.92,10.5,11.59,-0.11,-110.53,814.21,0.0,1009.53,1435.0,7.27,12.77,0.87,-0.19,0.2,0.17,1.06,-0.17,-1.04,-0.73,-0.29,-1.27,-0.73,-0.29,-1.27,0.0,38.2,86.7,30.0,30.9,27.5,-96.2,-1.6,65.1,-156.0,12.1,27.7,-48.0,-8.1,53.8,-98.4,-2.1,0.0,1.1,12.8,-9.1,-19.2,-18.7,-20.2,17.9,2.2,-3.4,-4.7,2,4
1436,28.72,-0.06,284.32,10.5,11.61,-0.11,-110.57,815.36,0.0,1011.05,1437.0,7.28,12.76,0.88,-0.19,0.2,0.06,0.6,0.32,-1.31,-0.03,-0.48,-1.4,-0.03,-0.48,-1.4,0.0,43.3,57.5,1.1,27.2,26.2,-97.8,-5.0,62.9,-156.0,9.0,26.2,-48.0,-9.4,52.8,-101.6,-6.0,5.4,1.3,15.6,-15.5,-7.1,-8.9,-10.1,22.8,-4.1,-2.3,0.6,2,4
1438,28.76,-0.06,284.72,10.5,11.63,-0.11,-110.7,816.51,0.0,1012.49,1439.0,7.29,12.76,0.89,-0.16,0.17,0.06,-1.04,-0.84,-1.51,0.93,1.3,-1.23,0.93,1.3,-1.23,124.0,82.9,0.0,0.0,28.7,28.7,-94.9,-1.0,63.2,-156.0,9.1,29.1,-48.0,-16.9,41.5,-88.7,-14.6,4.9,3.2,12.9,-1.1,-19.8,-1.1,-1.2,22.8,2.7,0.1,6.9,2,4
1440,28.8,-0.06,285.12,10.5,11.65,-0.11,-110.86,817.67,0.0,1013.9,1441.0,7.3,12.75,0.89,-0.07,0.15,-0.12,0.26,-2.05,-1.47,-0.74,1.9,-1.51,-0.74,1.9,-1.51,123.0,15.3,27.7,87.1,31.2,33.6,-86.7,7.5,71.3,-156.0,10.2,35.2,-48.0,-19.7,38.9,-78.8,-11.0,12.7,9.8,-6.4,1.8,-19.7,-0.8,-7.4,21.2,16.7,-2.7,-5.0,2,4
1442,28.84,-0.06,285.52,10.5,11.66,-0.11,-110.99,818.85,0.0,1015.37,1443.0,7.3,12.75,0.87,-0.14,0.12,-0.45,-1.48,-0.74,-0.92,1.24,1.22,-0.73,1.24,1.22,-0.73,0.0,0.0,58.5,58.6,35.4,39.8,-80.2,-5.9,72.0,-156.0,11.3,42.9,-48.0,-18.8,48.6,-86.6,-3.1,-4.2,-5.6,4.2,-4.5,-19.7,-9.4,-18.1,15.1,12.2,-11.6,-6.2,2,4
1444,28.88,-0.06,285.91,10.5,11.67,-0.11,-111.16,820.01,0.0,1016.77,1445.0,7.32,12.75,0.86,-0.26,0.16,-0.16,4.12,1.3,-0.59,-3.41,-2.39,-1.28,-3.41,-2.39,-1.28,16.4,0.0,86.3,49.2,37.1,34.5,-86.9,-3.3,63.5,-156.0,12.9,39.3,-48.0,-16.9,49.0,-94.1,-0.8,4.5,0.1,4.0,-1.7,-19.7,-12.2,-20.5,12.2,12.2,-5.7,-2.9,2,4
1446,28.92,-0.06,286.31,10.5,11.69,-0.11,-111.24,821.17,0.0,1018.26,1447.0,7.33,12.75,0.87,-0.34,0.14,0.26,0.34,0.74,-0.58,0.01,-0.8,-0.61,0.01,-0.8,-0.61,0.0,55.3,89.9,60.4,33.3,29.7,-91.0,-0.9,64.8,-156.0,10.4,32.3,-48.0,-16.1,47.7,-94.7,-0.6,1.1,-0.0,6.3,-4.8,-19.7,-16.4,-21.3,13.9,9.2,-5.5,-8.9,2,4
1448,28.96,-0.06,286.71,10.5,11.7,-0.11,-111.31,822.32,0.0,1019.76,1449.0,7.34,12.75,0.87,-0.29,0.12,0.05,0.58,0.58,-0.81,-0.2,-0.68,-0.91,-0.2,-0.68,-0.91,0.0,46.4,82.6,18.3,33.9,25.2,-92.2,-1.9,63.0,-156.0,11.2,27.8,-48.0,-11.5,47.1,-99.2,-4.0,0.7,2.5,11.3,-12.6,-12.9,-17.0,-19.5,21.4,1.8,-2.7,-3.5,2,4
1450,29.0,-0.06,287.1,10.5,11.72,-0.11,-111.36,823.47,0.0,1021.26,1451.0,7.35,12.74,0.88,-0.29,0.1,0.04,-0.27,0.2,-1.07,0.59,-0.12,-0.94,0.59,-0.12,-0.94,67.0,45.8,52.9,34.6,33.0,24.9,-89.6,-5.3,60.1,-156.0,8.7,26.6,-48.0,-12.1,44.5,-101.3,-7.9,3.7,3.4,14.2,-11.1,-8.3,-3.9,-8.0,22.8,-2.9,-5.7,1.6,2,4
1452,29.04,-0.06,287.5,10.5,11.73,-0.11,-111.43,824.62,0.0,1022.76,1453.0,7.36,12.74,0.88,-0.22,0.08,-0.05,-0.34,-0.75,-1.17,0.5,0.83,-1.05,0.5,0.83,-1.05,108.4,77.5,0.0,75.4,35.1,27.8,-88.7,-1.2,61.3,-156.0,10.8,28.6,-48.0,-14.8,38.9,-92.7,-12.6,12.0,0.8,5.2,6.0,-19.7,1.1,-1.3,22.5,7.0,-2.1,3.1,2,4
1454,29.08,-0.06,287.9,10.5,11.75,-0.11,-111.51,825.78,0.0,1024.25,1455.0,7.37,12.74,0.88,-0.11,0.09,-0.32,0.73,-1.25,-1.07,-0.63,1.18,-1.21,-0.63,1.18,-1.21,97.9,0.0,31.4,96.6,35.2,41.8,-93.5,-3.8,67.9,-156.0,11.1,33.6,-48.0,-17.9,42.0,-86.0,-12.8,8.5,2.8,-1.5,-0.2,-19.7,-5.2,-8.2,20.8,14.6,-5.8,-4.5,2,4
1456,29.12,-0.06,288.29,10.5,11.76,-0.11,-111.62,826.94,0.0,1025.71,1457.0,7.38,12.74,0.86,-0.23,0.05,-0.52,0.65,0.77,-0.58,-0.46,-0.82,-0.68,-0.46,-0.82,-0.68,0.0,0.0,101.8,118.2,35.5,47.8,-96.6,-7.8,66.7,-156.0,10.5,36.3,-48.0,-18.8,48.6,-87.6,0.4,-4.8,1.1,3.7,-2.8,-19.7,-13.0,-18.0,12.2,11.0,-11.4,-2.9,2,4
1458,29.16,-0.06,288.69,10.5,11.77,-0.11,-111.69,828.1,0.0,1027.21,1459.0,7.39,12.74,0.86,-0.34,0.04,0.24,-0.14,-0.36,-0.78,0.29,0.36,-0.73,0.29,0.36,-0.73,14.8,23.3,82.0,92.7,34.9,39.6,-92.9,-3.0,66.1,-156.0,11.7,31.9,-48.0,-16.3,48.8,-89.2,-2.4,-3.1,0.7,6.8,-7.2,-19.7,-15.7,-20.4,14.7,10.7,-9.3,-7.3,2,4
1460,29.2,-0.06,289.09,10.5,11.79,-0.11,-111.75,829.26,0.0,1028.72,1461.0,7.41,12.74,0.87,-0.34,0.03,0.03,-0.39,0.49,-0.4,0.49,-0.47,-0.29,0.49,-0.47,-0.29,38.0,65.3,90.9,50.3,34.1,31.0,-91.0,-2.0,64.2,-156.0,14.6,27.0,-48.0,-11.7,48.3,-91.8,-4.5,-0.1,-1.3,11.6,-3.7,-19.7,-18.5,-21.4,18.4,6.1,-5.4,-7.9,2,4
1462,29.24,-0.06,289.49,10.5,11.8,-0.11,-111.82,830.41,0.0,1030.21,1463.0,7.42,12.74,0.87,-0.31,0.04,0.01,1.06,0.1,-0.85,-0.8,-0.13,-1.09,-0.8,-0.13,-1.09,0.0,35.9,80.7,24.1,33.4,25.8,-96.2,-2.1,63.4,-156.0,15.9,22.1,-48.0,-8.2,49.1,-98.0,-5.0,0.9,-0.1,15.7,-15.1,-17.2,-16.5,-19.2,22.2,-1.2,-5.5,-3.1,2,4
1464,29.28,-0.06,289.89,10.5,11.82,-0.11,-111.9,831.56,0.0,1031.7,1465.0,7.43,12.74,0.88,-0.31,0.02,0.04,-0.25,-0.28,-1.29,0.59,0.22,-1.19,0.59,0.22,-1.19,5.7,71.4,46.6,31.5,31.5,26.2,-94.9,-3.0,62.6,-156.0,14.1,22.2,-48.0,-12.1,44.4,-95.4,-8.3,7.2,1.5,15.9,0.9,-19.8,-3.1,-3.6,22.8,-2.9,-6.1,2.0,2,4
1466,29.32,-0.06,290.29,10.5,11.83,-0.11,-112.02,832.72,0.0,1033.16,1467.0,7.44,12.74,0.88,-0.13,0.01,-0.17,0.66,-2.2,-1.59,-0.12,2.21,-1.72,-0.12,2.21,-1.72,136.5,43.7,0.0,58.1,34.0,37.9,-92.2,5.4,77.2,-156.0,16.6,29.2,-48.0,-17.4,42.2,-87.3,-13.8,18.1,5.8,-0.6,3.9,-19.7,-0.4,-1.0,22.0,12.1,-0.8,-3.7,2,4
1468,29.36,-0.06,290.68,10.5,11.85,-0.11,-112.18,833.89,0.0,1034.57,1469.0,7.45,12.73,0.87,-0.11,-0.07,-0.48,0.42,-2.62,-1.09,0.1,2.58,-1.26,0.1,2.58,-1.26,2.3,0.0,52.4,53.2,33.1,59.5,-84.3,-6.1,88.4,-156.0,14.0,42.4,-48.0,-23.7,54.1,-81.9,-6.2,-6.8,-0.3,2.2,-6.3,-19.7,-9.4,-13.5,19.6,15.7,-8.6,-14.4,2,4
1470,29.4,-0.06,291.07,10.5,11.86,-0.11,-112.43,835.07,0.0,1035.9,1471.0,7.46,12.74,0.85,-0.42,-0.08,0.1,-1.74,1.52,-0.36,1.47,-1.81,-0.18,1.47,-1.81,-0.18,0.0,0.0,97.0,72.6,41.5,54.4,-88.5,-4.9,74.9,-156.0,16.1,45.7,-48.0,-21.9,58.6,-83.6,-6.5,-0.0,-2.6,6.1,-4.3,-19.7,-14.8,-20.7,15.8,14.9,-8.0,-7.5,2,4
1472,29.44,-0.06,291.47,10.5,11.87,-0.11,-112.6,836.24,0.0,1037.32,1473.0,7.48,12.74,0.86,-0.47,-0.06,-0.03,-1.71,2.88,0.23,1.1,-3.13,0.46,1.1,-3.13,0.46,0.0,9.2,85.0,79.2,34.9,35.1,-95.7,8.6,72.0,-156.0,20.3,35.8,-48.0,-12.7,52.7,-81.3,-0.6,-0.6,0.5,5.7,-13.5,-19.7,-17.5,-20.9,16.3,7.6,-13.4,-13.4,2,4
1474,29.48,-0.06,291.86,10.5,11.88,-0.11,-112.74,837.4,0.0,1038.73,1475.0,7.49,12.73,0.86,-0.28,0.0,0.09,0.24,1.31,-0.24,-0.41,-1.26,-0.29,-0.41,-1.26,-0.29,0.0,60.6,93.8,61.0,34.2,26.7,-95.2,2.7,67.9,-156.0,18.8,27.5,-48.0,-9.8,51.0,-87.7,-3.4,-1.7,-1.5,15.5,-11.5,-19.7,-19.6,-21.4,19.5,4.5,-9.0,-9.4,2,4
1476,29.52,-0.06,292.26,10.5,11.9,-0.11,-112.86,838.54,0.0,1040.17,1477.0,7.5,12.73,0.87,-0.25,-0.01,0.06,0.64,0.71,-0.84,-0.49,-0.63,-0.98,-0.49,-0.63,-0.98,0.0,63.7,74.9,9.0,33.5,24.5,-95.2,-2.4,63.5,-156.0,17.0,24.2,-48.0,-9.8,50.5,-99.9,-4.8,4.1,0.4,16.2,-11.8,-15.0,-12.0,-16.3,22.4,-4.5,-5.5,-1.4,2,4
